id_a,id_utilisateur,id_reseau,type,description,date
601,318,39,Commentaire,Publication d'une photo,2023-01-10 11:20:13
602,309,32,Commentaire,Invitation à un événement,2021-09-23 19:02:22
603,304,31,Commentaire,Publication d'une vidéo,2022-03-11 15:34:53
604,380,34,Like,Réaction à une story,2022-11-10 11:23:35
605,394,34,Commentaire,Publication sur le mur,2023-01-07 21:46:52
606,331,35,Like,Commentaire sur une photo,2021-05-21 17:57:54
607,354,33,Post,Publication d'une vidéo,2023-03-17 22:55:41
608,315,36,Commentaire,Demande d'ami,2022-03-23 06:00:30
609,330,37,Like,Commentaire sur une photo,2020-01-29 18:19:00
610,344,33,Commentaire,Invitation à un événement,2021-09-30 06:50:23
611,339,31,Post,Publication sur le mur,2024-02-08 13:21:13
612,394,40,Like,Demande d'ami,2022-10-31 09:08:07
613,310,40,Commentaire,Commentaire sur une photo,2023-11-05 06:57:04
614,327,40,Commentaire,Commentaire sur une photo,2023-10-20 12:46:50
615,394,40,Post,Like sur un post,2021-03-02 11:23:01
616,375,34,Post,Publication d'une vidéo,2021-09-21 03:34:25
617,357,33,Like,Invitation à un événement,2024-12-18 17:45:01
618,347,36,Commentaire,Commentaire sur une photo,2021-05-01 01:58:17
619,326,40,Commentaire,Invitation à un événement,2024-04-15 16:33:00
620,304,38,Commentaire,Like sur un post,2020-10-17 02:57:10
621,377,37,Post,Invitation à un événement,2023-01-02 17:18:34
622,323,33,Like,Publication sur le mur,2024-10-13 01:32:55
623,397,37,Post,Commentaire sur une photo,2024-01-17 03:45:31
624,326,36,Commentaire,Demande d'ami,2024-07-01 15:33:20
625,366,33,Post,Message privé,2021-08-11 12:33:55
626,328,31,Commentaire,Commentaire sur une photo,2024-07-03 21:55:31
627,383,38,Commentaire,Publication d'une photo,2024-04-16 00:09:23
628,312,36,Post,Commentaire sur une photo,2023-01-20 01:32:37
629,368,33,Post,Message privé,2020-03-06 18:35:26
630,368,37,Post,Publication d'une vidéo,2023-02-16 00:02:48
631,378,32,Post,Publication sur le mur,2023-02-04 09:04:56
632,316,35,Post,Partage d'un article,2024-08-18 05:39:34
633,303,34,Like,Partage d'un article,2020-12-07 19:58:35
634,337,40,Post,Partage d'un article,2021-12-17 17:36:48
635,302,32,Commentaire,Partage d'un article,2022-11-19 13:41:26
636,322,39,Like,Demande d'ami,2021-02-19 01:48:55
637,400,38,Post,Invitation à un événement,2021-04-18 06:50:05
638,371,37,Commentaire,Demande d'ami,2021-04-06 02:13:01
639,392,34,Like,Partage d'un article,2024-07-19 22:49:53
640,383,35,Commentaire,Commentaire sur une photo,2022-08-14 17:35:59
641,315,34,Commentaire,Publication d'une vidéo,2021-09-29 19:29:36
642,339,32,Post,Commentaire sur une photo,2024-09-26 13:41:22
643,337,34,Like,Publication sur le mur,2025-03-04 00:21:49
644,358,33,Commentaire,Partage d'un article,2022-07-04 07:37:44
645,332,32,Like,Publication d'une vidéo,2024-01-24 18:42:28
646,332,35,Like,Publication sur le mur,2023-06-26 23:22:16
647,319,32,Like,Publication d'une vidéo,2022-01-18 19:54:51
648,333,34,Commentaire,Publication sur le mur,2022-07-26 13:23:21
649,329,36,Post,Publication sur le mur,2020-01-31 19:55:25
650,369,36,Like,Commentaire sur une photo,2020-04-09 09:58:57
651,345,31,Like,Publication d'une vidéo,2023-01-08 17:24:46
652,356,37,Commentaire,Publication d'une photo,2023-09-22 18:45:38
653,369,31,Post,Message privé,2024-05-08 12:36:15
654,389,40,Commentaire,Commentaire sur une photo,2023-12-17 02:05:58
655,345,33,Post,Commentaire sur une photo,2023-04-25 08:45:17
656,392,35,Commentaire,Invitation à un événement,2022-12-28 21:09:08
657,392,34,Like,Commentaire sur une photo,2023-08-14 04:56:03
658,353,36,Post,Commentaire sur une photo,2025-03-03 10:15:10
659,339,33,Commentaire,Message privé,2021-04-05 23:15:34
660,312,31,Commentaire,Publication sur le mur,2024-12-14 18:11:48
661,333,37,Like,Réaction à une story,2023-08-10 01:48:49
662,319,39,Commentaire,Publication d'une vidéo,2020-06-18 06:13:20
663,322,36,Post,Commentaire sur une photo,2024-07-25 22:38:05
664,314,37,Commentaire,Partage d'un article,2023-07-21 17:44:58
665,316,32,Commentaire,Invitation à un événement,2020-05-11 14:47:20
666,325,34,Commentaire,Invitation à un événement,2022-10-04 05:05:00
667,316,32,Like,Publication sur le mur,2021-12-24 02:32:39
668,400,32,Like,Publication sur le mur,2023-05-25 15:08:34
669,349,38,Post,Message privé,2023-05-16 21:37:03
670,355,39,Post,Invitation à un événement,2020-12-01 14:17:36
671,362,32,Like,Demande d'ami,2022-05-03 01:59:54
672,307,36,Commentaire,Message privé,2024-12-03 19:30:59
673,399,33,Commentaire,Commentaire sur une photo,2020-04-03 19:26:50
674,387,37,Like,Publication d'une vidéo,2022-04-19 20:47:34
675,312,35,Like,Publication sur le mur,2022-11-19 11:03:38
676,306,36,Post,Like sur un post,2022-09-19 14:03:40
677,358,38,Post,Publication sur le mur,2022-10-14 01:58:16
678,340,39,Like,Message privé,2025-01-07 16:11:26
679,325,40,Commentaire,Partage d'un article,2022-07-05 15:27:09
680,384,38,Post,Publication d'une vidéo,2021-04-24 12:31:42
681,386,39,Post,Message privé,2021-01-07 00:43:25
682,374,37,Like,Commentaire sur une photo,2024-03-04 02:01:55
683,325,37,Commentaire,Demande d'ami,2024-07-19 20:45:56
684,384,31,Commentaire,Partage d'un article,2020-12-11 17:26:43
685,385,38,Commentaire,Publication d'une vidéo,2020-07-30 00:41:04
686,389,39,Like,Partage d'un article,2020-05-14 03:30:17
687,333,31,Like,Publication d'une vidéo,2023-02-03 03:00:36
688,384,40,Commentaire,Demande d'ami,2021-09-18 04:35:37
689,365,37,Commentaire,Like sur un post,2023-08-31 07:25:40
690,386,34,Like,Publication d'une vidéo,2025-04-01 16:21:48
691,319,40,Post,Message privé,2022-09-12 18:06:42
692,329,39,Post,Publication d'une vidéo,2024-08-22 19:46:49
693,374,36,Commentaire,Like sur un post,2021-09-23 06:53:28
694,397,40,Post,Partage d'un article,2020-05-20 10:37:35
695,374,32,Post,Publication d'une vidéo,2024-06-13 04:18:40
696,395,38,Like,Demande d'ami,2020-07-27 19:50:14
697,376,36,Like,Partage d'un article,2021-07-26 15:56:16
698,332,34,Like,Publication d'une photo,2022-08-20 22:01:17
699,304,35,Like,Message privé,2023-04-21 16:50:52
700,313,33,Commentaire,Like sur un post,2022-05-29 12:24:09
701,351,32,Commentaire,Publication sur le mur,2020-04-28 17:41:52
702,369,33,Commentaire,Message privé,2025-02-10 17:42:28
703,359,31,Commentaire,Publication sur le mur,2024-05-07 14:11:00
704,331,32,Post,Publication d'une photo,2023-09-07 04:39:08
705,389,39,Like,Publication d'une photo,2020-12-27 08:58:49
706,372,32,Like,Message privé,2024-06-12 19:43:27
707,391,35,Post,Publication d'une vidéo,2020-01-04 04:46:16
708,362,32,Commentaire,Publication d'une photo,2022-08-18 12:12:13
709,384,32,Commentaire,Like sur un post,2022-01-18 12:15:35
710,384,37,Post,Invitation à un événement,2020-05-02 16:51:49
711,343,32,Post,Invitation à un événement,2021-09-16 16:04:34
