id_e,description,lieu,prix,date,categorie,capacite,duree
1,Spectacle,21,35.7,2021-08-09 18:54:30,Nature,407,12:00:00
2,Spectacle,9,78.55,2023-05-31 04:35:14,Sport,272,3:00:00
3,Conférence,40,36.23,2024-06-25 01:28:33,Culture,153,2:00:00
4,Spectacle,8,47.74,2021-02-04 03:41:34,Sport,108,2:00:00
5,Atelier,33,60.36,2021-04-06 03:09:19,Culture,159,12:00:00
6,Séance de cinéma,45,58.74,2024-07-12 01:11:46,Technologie,289,9:00:00
7,Match de sport,40,15.48,2022-05-07 02:30:19,Culture,226,8:00:00
8,Festival,33,66.79,2020-10-30 10:43:05,Sport,174,7:00:00
9,Conférence,32,70.58,2022-05-14 08:36:38,Loisirs,177,5:00:00
10,Conférence,33,10.48,2021-05-21 09:37:24,Sport,485,5:00:00
11,Atelier,12,66.05,2020-07-22 09:45:04,Loisirs,318,8:00:00
12,Festival,20,60.02,2022-05-29 22:49:27,Nature,286,2:00:00
13,Séance de cinéma,14,93.32,2021-06-29 22:05:46,Culture,243,6:00:00
14,Sortie en groupe,13,94.85,2025-01-10 11:26:27,Culture,129,4:00:00
15,Festival,37,55.48,2021-08-20 20:20:40,Culture,265,12:00:00
16,Séance de cinéma,44,28.94,2021-03-13 21:50:20,Technologie,441,11:00:00
17,Séance de cinéma,14,32.67,2024-06-28 06:05:21,Technologie,158,6:00:00
18,Atelier,44,66.55,2023-12-21 22:57:56,Loisirs,171,9:00:00
19,Match de sport,40,88.36,2021-03-07 10:32:45,Technologie,104,5:00:00
20,Atelier,10,56.89,2023-05-11 22:34:00,Culture,132,12:00:00
21,Sortie en groupe,31,37.22,2021-04-29 20:04:06,Sport,323,3:00:00
22,Match de sport,20,22.6,2021-11-11 11:59:31,Technologie,61,1:00:00
23,Séance de cinéma,21,76.89,2023-08-04 14:41:03,Loisirs,84,12:00:00
24,Sortie en groupe,36,81.17,2021-09-13 14:32:36,Sport,198,12:00:00
25,Conférence,30,54.47,2025-04-12 05:49:57,Nature,425,9:00:00
26,Festival,46,59.97,2020-08-12 16:32:52,Technologie,491,12:00:00
27,Séance de cinéma,23,42.26,2023-02-23 14:36:21,Nature,341,7:00:00
28,Concert,4,68.73,2021-05-28 23:10:33,Technologie,286,6:00:00
29,Conférence,31,80.96,2024-02-12 10:08:21,Culture,240,10:00:00
30,Séance de cinéma,17,38.75,2024-06-11 01:37:27,Technologie,479,8:00:00
31,Concert,47,41.28,2022-04-19 22:23:40,Technologie,175,12:00:00
32,Sortie en groupe,42,22.28,2020-03-02 03:45:23,Nature,262,11:00:00
33,Exposition,17,90.01,2021-01-19 16:48:16,Loisirs,84,9:00:00
34,Exposition,33,76.39,2024-12-11 09:37:03,Culture,280,6:00:00
35,Match de sport,14,53.33,2020-07-05 12:16:07,Loisirs,274,9:00:00
36,Séance de cinéma,43,41.55,2022-01-26 02:01:50,Sport,167,12:00:00
37,Visite guidée,45,59.71,2024-03-29 21:57:46,Culture,152,12:00:00
38,Conférence,12,69.32,2023-01-26 16:11:06,Sport,304,2:00:00
39,Concert,19,90.24,2024-05-08 04:17:02,Loisirs,420,6:00:00
40,Visite guidée,16,46.76,2024-02-05 19:58:35,Culture,405,7:00:00
41,Atelier,34,54.04,2020-06-09 02:28:13,Loisirs,426,2:00:00
42,Match de sport,41,10.26,2023-03-24 14:22:01,Culture,129,12:00:00
43,Match de sport,43,20.67,2020-12-23 06:14:15,Technologie,333,9:00:00
44,Conférence,12,67.42,2024-10-03 13:14:44,Technologie,191,12:00:00
45,Exposition,35,64.38,2025-04-18 12:15:10,Loisirs,274,11:00:00
46,Spectacle,3,96.53,2021-11-01 21:58:49,Sport,448,11:00:00
47,Séance de cinéma,34,23.65,2024-06-16 00:05:28,Sport,447,7:00:00
48,Sortie en groupe,18,14.48,2024-11-01 13:33:05,Nature,253,2:00:00
49,Séance de cinéma,3,33.82,2020-08-04 06:17:19,Nature,245,12:00:00
50,Match de sport,34,95.12,2021-10-06 17:48:09,Culture,494,10:00:00
51,Exposition,1,98.53,2022-10-15 06:18:31,Sport,55,12:00:00
52,Séance de cinéma,8,40.73,2024-03-19 18:37:22,Culture,480,5:00:00
53,Spectacle,12,98.48,2024-10-24 05:23:50,Culture,72,12:00:00
54,Spectacle,28,56.88,2020-05-17 07:31:38,Sport,59,8:00:00
55,Spectacle,33,33.45,2020-11-03 02:56:17,Nature,461,11:00:00
56,Sortie en groupe,47,58.9,2024-07-19 08:34:55,Sport,343,2:00:00
57,Exposition,35,10.82,2024-01-16 15:45:01,Culture,187,1:00:00
58,Sortie en groupe,13,65.03,2020-09-17 03:19:46,Loisirs,223,3:00:00
59,Atelier,4,87.72,2022-01-08 15:41:10,Technologie,264,1:00:00
60,Conférence,25,12.49,2024-02-15 12:14:26,Loisirs,231,4:00:00
61,Visite guidée,45,56.0,2024-06-18 18:10:09,Sport,368,1:00:00
62,Sortie en groupe,34,42.71,2024-01-16 23:40:24,Culture,323,6:00:00
63,Conférence,1,90.83,2022-07-04 05:10:18,Culture,189,11:00:00
64,Match de sport,12,91.21,2023-12-11 00:41:45,Loisirs,277,2:00:00
65,Conférence,50,34.15,2023-12-21 11:19:59,Technologie,98,1:00:00
66,Spectacle,30,53.24,2021-12-08 05:59:14,Sport,425,9:00:00
67,Atelier,4,22.39,2025-03-20 08:18:42,Loisirs,414,1:00:00
68,Conférence,49,61.49,2022-12-19 22:23:00,Sport,469,4:00:00
69,Sortie en groupe,6,91.6,2024-01-21 04:52:37,Culture,155,7:00:00
70,Spectacle,11,41.03,2021-07-26 08:48:26,Sport,220,6:00:00
71,Festival,10,77.38,2024-11-16 20:33:42,Culture,70,6:00:00
72,Sortie en groupe,45,60.74,2024-08-06 10:17:14,Technologie,255,10:00:00
73,Visite guidée,41,35.85,2025-03-03 17:28:03,Technologie,175,12:00:00
74,Sortie en groupe,1,34.12,2020-01-21 18:27:53,Loisirs,338,7:00:00
75,Concert,9,62.48,2023-06-25 17:36:31,Nature,463,7:00:00
