id_m,mot,categorie
1,Lecture,Culture
2,Culture,Culture
3,Musique,Culture
4,Sport,Sport
5,Bricolage,Sport
6,Bricolage,Technologie
7,Bricolage,Technologie
8,Sport,Culture
9,Animaux,Sport
10,Technologie,Sport
11,Musique,Nature
12,Film,Nature
13,Bien-être,Loisirs
14,Nature,Technologie
15,Animaux,Technologie
16,Bien-être,Sport
17,Nature,Nature
18,Technologie,Loisirs
19,Bien-être,Nature
20,Séries,Sport
21,Photographie,Loisirs
22,Jardinage,Nature
23,Musique,Sport
24,Musique,Loisirs
25,Mode,Nature
26,Bien-être,Loisirs
27,Photographie,Nature
28,Aventure,Culture
29,Musique,Nature
30,Art,Culture
31,Voyage,Sport
32,Aventure,Culture
33,Jeux,Loisirs
34,Culture,Technologie
35,Sport,Loisirs
36,Nature,Culture
37,Film,Sport
38,Art,Sport
39,Séries,Culture
40,Jeux,Sport
