id_utilisateur,id_evenement,date_participation
13,33,2022-05-25 15:44:04
99,7,2025-03-07 02:18:58
32,39,2020-03-07 21:02:41
18,58,2021-04-13 09:08:55
7,66,2023-11-06 19:35:15
82,43,2021-11-25 20:23:55
76,16,2022-12-28 11:20:18
77,48,2023-02-07 15:37:06
83,32,2021-04-20 02:27:29
85,4,2022-01-02 08:48:52
40,36,2023-08-19 02:42:02
42,6,2021-11-28 14:38:10
45,41,2020-12-09 09:40:39
74,19,2023-05-04 19:19:52
97,23,2022-06-04 02:41:59
65,24,2024-05-20 20:02:19
24,58,2020-02-17 06:21:53
39,74,2022-07-11 01:01:05
44,36,2024-04-01 04:05:05
9,42,2023-05-30 09:17:20
90,72,2022-11-01 18:04:32
53,62,2020-03-01 22:37:40
30,14,2022-01-14 07:32:29
72,38,2024-10-11 02:31:36
17,16,2020-12-04 20:24:08
97,3,2020-03-21 07:43:17
42,11,2021-02-02 12:32:42
94,33,2022-12-21 02:05:55
60,33,2021-11-20 23:18:01
1,48,2021-09-20 11:12:13
87,5,2024-07-04 22:59:13
2,40,2024-08-18 08:52:13
64,4,2020-05-11 03:07:36
62,52,2023-07-26 20:06:10
80,47,2020-08-28 09:21:51
74,10,2021-03-25 19:54:43
7,31,2022-08-24 13:15:32
17,52,2020-08-16 07:19:52
72,53,2025-04-22 02:13:02
67,55,2021-05-10 02:55:48
99,6,2022-07-24 05:11:09
44,26,2021-01-16 04:35:50
28,61,2022-02-20 03:13:58
34,73,2022-02-02 21:27:02
2,44,2021-04-18 05:22:35
79,55,2022-12-26 19:02:49
69,44,2022-05-31 15:41:03
53,51,2023-11-10 15:53:51
6,4,2025-01-14 17:29:07
72,14,2023-02-22 06:49:50
65,25,2024-07-08 00:21:12
16,30,2021-07-08 13:57:29
53,22,2020-05-29 05:19:28
45,53,2020-12-28 21:43:23
56,69,2023-09-15 04:21:59
68,10,2024-01-17 21:23:39
8,35,2025-03-27 01:00:24
45,74,2023-11-19 05:49:57
58,64,2020-10-16 03:21:06
76,71,2020-09-08 06:37:43
53,14,2024-07-12 20:32:40
15,13,2022-03-17 09:29:27
77,68,2025-03-07 00:51:27
15,74,2022-05-24 07:29:58
95,65,2022-06-12 00:10:09
34,52,2023-11-23 02:27:32
20,61,2024-11-12 18:03:43
60,29,2023-06-22 16:20:09
13,38,2022-01-11 00:01:47
51,26,2022-04-17 22:19:18
27,47,2023-12-20 16:00:31
97,6,2021-03-27 15:38:07
83,54,2025-04-29 03:33:57
65,32,2021-01-17 04:44:41
58,46,2023-07-12 07:14:32
77,73,2025-02-01 01:12:11
7,30,2024-12-05 13:19:29
6,45,2024-12-18 04:30:04
71,67,2024-04-17 20:53:28
72,69,2022-06-01 17:40:37
47,25,2024-07-21 20:38:46
96,6,2023-10-15 20:30:44
6,41,2025-01-12 00:50:57
81,12,2021-12-18 01:09:09
2,33,2020-01-09 21:15:05
70,54,2023-08-31 07:08:12
85,42,2021-09-13 18:08:37
32,64,2020-06-04 23:31:18
34,31,2025-02-04 10:17:33
64,15,2023-12-08 18:47:00
26,9,2020-02-02 02:22:15
49,58,2024-01-11 22:29:58
21,40,2020-04-02 20:55:56
64,25,2023-04-03 04:40:52
13,29,2021-10-20 08:27:44
19,41,2021-02-24 11:26:52
17,42,2020-09-26 17:15:37
91,25,2024-04-04 21:41:33
80,1,2021-12-28 09:31:44
33,33,2024-02-19 08:25:43
84,21,2025-05-14 15:00:30
73,52,2024-05-03 16:33:28
81,36,2022-03-09 17:11:43
90,68,2021-09-18 09:54:47
19,64,2023-12-27 15:38:43
69,36,2022-10-29 18:53:00
91,28,2022-07-08 10:44:52
23,47,2020-07-27 12:59:13
23,2,2024-01-02 11:43:54
56,4,2024-04-25 00:45:38
58,23,2021-03-18 11:23:12
91,20,2023-09-03 20:31:48
90,38,2021-08-15 13:47:34
7,9,2024-12-22 07:28:20
33,4,2025-05-10 01:36:30
90,5,2025-03-05 22:09:25
80,16,2023-07-03 10:25:19
79,7,2020-12-08 05:45:21
9,44,2025-05-10 20:50:13
30,48,2021-08-30 02:38:31
88,42,2024-01-28 10:11:14
71,34,2021-08-07 16:41:41
15,64,2023-11-27 21:06:29
1,42,2022-09-10 13:07:29
24,34,2025-02-10 17:23:47
44,35,2025-01-08 23:38:42
67,60,2020-09-23 17:02:43
6,9,2022-12-03 19:01:12
72,37,2022-06-25 06:23:39
39,7,2025-04-18 03:28:55
78,2,2021-12-03 09:42:04
57,18,2022-05-27 04:09:13
17,8,2022-05-14 10:03:50
46,73,2020-06-22 08:52:32
27,25,2021-06-11 03:23:48
13,34,2024-03-12 18:40:47
3,75,2020-12-05 15:27:20
94,10,2023-02-20 14:31:17
100,63,2023-11-05 18:07:09
53,11,2020-04-24 12:53:21
62,21,2021-05-12 10:35:59
66,31,2022-05-16 12:18:23
25,42,2022-06-15 01:45:16
51,34,2020-03-03 18:29:26
32,42,2022-07-15 17:25:10
37,71,2025-04-19 19:16:01
42,69,2020-06-10 05:00:47
53,75,2024-02-28 14:25:34
66,67,2023-02-17 16:42:06
79,24,2024-03-07 22:34:58
65,14,2023-07-08 00:08:37
32,70,2024-06-21 17:01:24
75,9,2023-05-27 06:44:16
33,13,2021-01-09 23:51:41
25,13,2024-03-21 20:58:15
71,71,2022-12-31 08:09:30
2,68,2023-03-14 18:22:14
89,73,2021-02-25 18:22:21
82,29,2023-07-06 04:00:13
100,5,2024-03-19 18:29:40
38,4,2021-05-17 20:30:44
38,35,2022-08-30 10:10:10
83,27,2022-03-30 17:15:11
99,22,2025-02-01 15:23:20
92,44,2024-12-04 09:29:47
95,7,2021-10-26 10:14:26
23,45,2024-03-16 04:43:08
15,48,2022-04-06 11:13:50
60,23,2022-07-30 05:17:05
34,10,2020-02-29 02:44:53
21,59,2022-10-31 09:36:52
77,12,2024-09-20 05:05:57
94,21,2025-01-03 01:50:39
90,13,2024-07-12 19:29:23
95,51,2022-04-17 19:55:18
26,37,2023-05-07 19:00:44
42,67,2021-11-06 04:42:18
26,65,2024-11-06 06:17:26
93,14,2023-10-14 19:37:12
34,58,2020-01-24 00:06:46
84,63,2022-08-04 00:27:35
76,17,2024-11-04 09:52:13
36,10,2024-08-22 15:42:53
1,26,2025-04-26 17:45:13
67,39,2020-04-15 22:43:04
80,6,2020-06-25 15:55:47
57,43,2024-01-21 06:43:12
92,73,2021-06-10 23:38:14
34,38,2021-10-01 20:11:40
51,30,2022-10-20 23:27:23
73,72,2021-11-25 13:46:41
56,59,2023-03-18 23:46:47
1,15,2023-08-30 14:01:28
3,10,2023-12-30 09:43:25
70,64,2021-06-10 03:03:27
31,16,2020-07-20 06:13:51
89,22,2022-04-19 18:25:17
34,2,2021-06-24 06:33:10
22,59,2022-09-18 17:14:38
28,42,2023-07-06 01:05:56
